,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
661,Rotation B,Rotation B
662,Lith G6 Relic,Uncommon (14.29%)
663,Lith H8 Relic,Uncommon (14.29%)
664,Lith S15 Relic,Uncommon (14.29%)
665,Lith S14 Relic,Uncommon (14.29%)
666,Lith B11 Relic,Uncommon (14.29%)
667,Lith K10 Relic,Uncommon (14.29%)
668,Lith R3 Relic,Uncommon (14.29%)
669,Rotation C,Rotation C
670,Master Key,Uncommon (10.00%)
671,Reflection,Uncommon (10.00%)
672,Parry,Uncommon (10.00%)
673,Heavy Impact,Uncommon (10.00%)
674,Serration,Uncommon (10.00%)
675,Hornet Strike,Uncommon (10.00%)
676,Metal Auger,Uncommon (10.00%)
677,Volcanic Edge,Uncommon (10.00%)
678,Vicious Frost,Uncommon (10.00%)
679,Ivara Systems Blueprint,Uncommon (10.00%)
680,,
681,Venus/Cytherean (Interception),Venus/Cytherean (Interception)
682,Rotation A,Rotation A
683,Vitality,Uncommon (10.00%)
684,Magazine Warp,Uncommon (10.00%)
685,Trick Mag,Uncommon (10.00%)
686,Lith G6 Relic,Uncommon (10.00%)
687,Lith H8 Relic,Uncommon (10.00%)
688,Lith S15 Relic,Uncommon (10.00%)
689,Lith S14 Relic,Uncommon (10.00%)
690,Lith B11 Relic,Uncommon (10.00%)
691,Lith K10 Relic,Uncommon (10.00%)
692,Lith R3 Relic,Uncommon (10.00%)
693,Rotation B,Rotation B
694,Speed Trigger,Rare (5.88%)
695,Fast Deflection,Rare (5.88%)
696,Rush,Rare (5.88%)
697,Target Cracker,Rare (5.88%)
698,No Return,Rare (5.88%)
699,Serration,Rare (5.88%)
700,Hornet Strike,Rare (5.88%)
701,Reflex Coil,Rare (5.88%)
702,Deep Freeze,Rare (5.88%)
703,North Wind,Rare (5.88%)
704,Meso P11 Relic,Rare (5.88%)
705,Meso H4 Relic,Rare (5.88%)
706,Meso N14 Relic,Rare (5.88%)
707,Meso P10 Relic,Rare (5.88%)
708,Meso D7 Relic,Rare (5.88%)
709,Meso K4 Relic,Rare (5.88%)
710,Meso S12 Relic,Rare (5.88%)
711,Rotation C,Rotation C
712,Natural Talent,Rare (2.58%)
713,Meso P11 Relic,Uncommon (13.92%)
714,Meso H4 Relic,Uncommon (13.92%)
715,Meso N14 Relic,Uncommon (13.92%)
716,Meso P10 Relic,Uncommon (13.92%)
717,Meso D7 Relic,Uncommon (13.92%)
718,Meso K4 Relic,Uncommon (13.92%)
719,Meso S12 Relic,Uncommon (13.92%)
720,,
721,Venus/Linea (Rescue),Venus/Linea (Rescue)
722,Rotation B,Rotation B
723,Vapor Specter Blueprint,Very Common (100.00%)
724,Rotation C,Rotation C
725,Phase Specter Blueprint,Very Common (100.00%)
726,,
727,Venus/Fossa (Assassination),Venus/Fossa (Assassination)
728,Rhino Neuroptics Blueprint,Common (38.72%)
729,Rhino Chassis Blueprint,Common (38.72%)
730,Rhino Systems Blueprint,Uncommon (22.56%)
731,,
732,Venus/Unda (Spy),Venus/Unda (Spy)
733,Rotation A,Rotation A
734,"1,500 Credits Cache",Uncommon (14.29%)
735,"1,500 Credits Cache",Uncommon (14.29%)
736,100 Endo,Uncommon (14.29%)
737,100 Endo,Uncommon (14.29%)
738,Reflection,Uncommon (14.29%)
739,Reflex Guard,Uncommon (14.29%)
740,Parry,Uncommon (14.29%)
741,Rotation B,Rotation B
742,Lith G6 Relic,Uncommon (14.29%)
743,Lith H8 Relic,Uncommon (14.29%)
744,Lith S15 Relic,Uncommon (14.29%)
745,Lith S14 Relic,Uncommon (14.29%)
746,Lith B11 Relic,Uncommon (14.29%)
747,Lith K10 Relic,Uncommon (14.29%)
748,Lith R3 Relic,Uncommon (14.29%)
749,Rotation C,Rotation C
750,Master Key,Uncommon (10.00%)
751,Reflection,Uncommon (10.00%)
752,Parry,Uncommon (10.00%)
753,Heavy Impact,Uncommon (10.00%)
754,Serration,Uncommon (10.00%)
755,Hornet Strike,Uncommon (10.00%)
756,Metal Auger,Uncommon (10.00%)
757,Volcanic Edge,Uncommon (10.00%)
758,Vicious Frost,Uncommon (10.00%)
759,Ivara Systems Blueprint,Uncommon (10.00%)
760,,
761,Venus/Malva (Survival),Venus/Malva (Survival)
762,Rotation A,Rotation A
763,"2,000 Credits Cache",Uncommon (14.29%)
764,"2,000 Credits Cache",Uncommon (14.29%)
765,"2,000 Credits Cache",Uncommon (14.29%)
766,"2,000 Credits Cache",Uncommon (14.29%)
767,100 Endo,Uncommon (14.29%)
768,100 Endo,Uncommon (14.29%)
769,100 Endo,Uncommon (14.29%)
770,Rotation B,Rotation B
771,Parry,Rare (7.69%)
772,Steel Fiber,Rare (7.69%)
773,Serration,Rare (7.69%)
774,Incendiary Coat,Rare (7.69%)
775,Hornet Strike,Rare (7.69%)
776,Intensify,Rare (7.69%)
777,Lith G6 Relic,Rare (7.69%)
778,Lith H8 Relic,Rare (7.69%)
779,Lith S15 Relic,Rare (7.69%)
780,Lith S14 Relic,Rare (7.69%)
781,Lith B11 Relic,Rare (7.69%)
782,Lith K10 Relic,Rare (7.69%)
783,Lith R3 Relic,Rare (7.69%)
784,Rotation C,Rotation C
785,True Punishment,Uncommon (11.28%)
786,Quickening,Uncommon (11.28%)
787,Lith G6 Relic,Uncommon (11.06%)
788,Lith H8 Relic,Uncommon (11.06%)
789,Lith S15 Relic,Uncommon (11.06%)
790,Lith S14 Relic,Uncommon (11.06%)
791,Lith B11 Relic,Uncommon (11.06%)
792,Lith K10 Relic,Uncommon (11.06%)
793,Lith R3 Relic,Uncommon (11.06%)
794,,
795,Venus/Venera (Capture),Venus/Venera (Capture)
796,Vitality,Uncommon (10.84%)
797,Fast Deflection,Uncommon (10.84%)
798,Rush,Uncommon (11.06%)
799,Magazine Warp,Uncommon (10.84%)
800,Trick Mag,Uncommon (10.84%)
801,Pressure Point,Legendary (0.34%)
802,Ammo Drum,Uncommon (11.06%)
803,Fast Hands,Uncommon (10.84%)
804,Quickdraw,Uncommon (10.84%)
805,Health Restore (Large),Uncommon (10.84%)
806,Omni Ammo Box,Legendary (0.34%)
807,North Wind,Legendary (0.34%)
808,Shocking Touch,Legendary (0.34%)
809,Molten Impact,Legendary (0.34%)
810,Stretch,Legendary (0.34%)
811,,
812,Venus/Tessera (Defense),Venus/Tessera (Defense)
813,Rotation A,Rotation A
814,Magazine Warp,Rare (9.09%)
815,Trick Mag,Rare (9.09%)
816,Pressure Point,Rare (9.09%)
817,Ammo Drum,Rare (9.09%)
818,Lith G6 Relic,Rare (9.09%)
819,Lith H8 Relic,Rare (9.09%)
820,Lith S15 Relic,Rare (9.09%)
821,Lith S14 Relic,Rare (9.09%)
822,Lith B11 Relic,Rare (9.09%)
823,Lith K10 Relic,Rare (9.09%)
824,Lith R3 Relic,Rare (9.09%)
825,Rotation B,Rotation B
826,Reflex Coil,Rare (8.33%)
827,Cryo Rounds,Rare (8.33%)
828,Hell's Chamber,Rare (8.33%)
829,Shocking Touch,Rare (8.33%)
830,100 Endo,Rare (8.33%)
831,Meso P11 Relic,Rare (8.33%)
832,Meso H4 Relic,Rare (8.33%)
833,Meso N14 Relic,Rare (8.33%)
834,Meso P10 Relic,Rare (8.33%)
835,Meso D7 Relic,Rare (8.33%)
836,Meso K4 Relic,Rare (8.33%)
837,Meso S12 Relic,Rare (8.33%)
838,Rotation C,Rotation C
839,Metal Auger,Rare (8.33%)
840,Ravage,Rare (8.33%)
841,Continuity,Rare (8.33%)
842,Master Thief,Rare (8.33%)
843,200 Endo,Rare (8.33%)
844,Meso P11 Relic,Rare (8.33%)
845,Meso H4 Relic,Rare (8.33%)
846,Meso N14 Relic,Rare (8.33%)
847,Meso P10 Relic,Rare (8.33%)
848,Meso D7 Relic,Rare (8.33%)
849,Meso K4 Relic,Rare (8.33%)
850,Meso S12 Relic,Rare (8.33%)
851,,
852,Venus/Kiliken (Excavation),Venus/Kiliken (Excavation)
853,Rotation A,Rotation A
854,"2,000 Credits Cache",Uncommon (14.29%)
855,"2,000 Credits Cache",Uncommon (14.29%)
856,"2,000 Credits Cache",Uncommon (14.29%)
857,"2,000 Credits Cache",Uncommon (14.29%)
858,100 Endo,Uncommon (14.29%)
859,100 Endo,Uncommon (14.29%)
860,100 Endo,Uncommon (14.29%)
861,Rotation B,Rotation B
862,Parry,Rare (7.69%)
863,Steel Fiber,Rare (7.69%)
864,Serration,Rare (7.69%)
865,Incendiary Coat,Rare (7.69%)
866,Hornet Strike,Rare (7.69%)
867,Intensify,Rare (7.69%)
868,Lith G6 Relic,Rare (7.69%)
869,Lith H8 Relic,Rare (7.69%)
870,Lith S15 Relic,Rare (7.69%)
871,Lith S14 Relic,Rare (7.69%)
872,Lith B11 Relic,Rare (7.69%)
873,Lith K10 Relic,Rare (7.69%)
874,Lith R3 Relic,Rare (7.69%)
875,Rotation C,Rotation C
876,Arrow Mutation,Rare (3.76%)
877,Rifle Ammo Mutation,Rare (3.76%)
878,Sniper Ammo Mutation,Rare (3.76%)
879,Shotgun Ammo Mutation,Rare (3.76%)
880,Pistol Ammo Mutation,Rare (3.76%)
881,Cleanse Grineer,Rare (3.76%)
882,Lith G6 Relic,Uncommon (11.06%)
883,Lith H8 Relic,Uncommon (11.06%)
884,Lith S15 Relic,Uncommon (11.06%)
885,Lith S14 Relic,Uncommon (11.06%)
886,Lith B11 Relic,Uncommon (11.06%)
887,Lith K10 Relic,Uncommon (11.06%)
888,Lith R3 Relic,Uncommon (11.06%)
889,,
890,Venus/Romula (Defense),Venus/Romula (Defense)
891,Rotation A,Rotation A
892,Vitality,Rare (6.90%)
893,Fast Deflection,Rare (6.90%)
894,Rush,Rare (7.37%)
895,Magazine Warp,Rare (6.90%)
896,Trick Mag,Rare (6.90%)
897,Pressure Point,Ultra Rare (1.01%)
898,Ammo Drum,Rare (7.37%)
899,Fast Hands,Rare (7.37%)
900,True Punishment,Ultra Rare (1.01%)
901,Lith G6 Relic,Rare (6.90%)
902,Lith H8 Relic,Rare (6.90%)
903,Lith S15 Relic,Rare (6.90%)
904,Lith S14 Relic,Rare (6.90%)
905,Lith B11 Relic,Rare (6.90%)
906,Lith K10 Relic,Rare (6.90%)
907,Lith R3 Relic,Rare (6.90%)
908,Rotation B,Rotation B
909,Speed Trigger,Rare (8.43%)
910,Fast Hands,Ultra Rare (1.58%)
911,Point Strike,Rare (8.43%)
912,Vital Sense,Rare (8.43%)
913,Piercing Hit,Ultra Rare (1.58%)
914,Metal Auger,Ultra Rare (1.58%)
915,Pistol Gambit,Rare (8.43%)
916,Target Cracker,Rare (8.43%)
917,No Return,Rare (8.43%)
918,Ravage,Rare (8.43%)
919,Blunderbuss,Rare (8.43%)
920,Point Blank,Ultra Rare (1.58%)
921,Serration,Ultra Rare (1.58%)
922,Hornet Strike,Ultra Rare (1.58%)
923,Fury,Legendary (0.67%)
924,Reflex Coil,Ultra Rare (1.58%)
925,Pressure Point,Rare (8.43%)
926,True Punishment,Legendary (0.67%)
927,Quickening,Legendary (0.67%)
928,Meso P11 Relic,Ultra Rare (1.58%)
929,Meso H4 Relic,Ultra Rare (1.58%)
930,Meso N14 Relic,Ultra Rare (1.58%)
931,Meso P10 Relic,Ultra Rare (1.58%)
932,Meso D7 Relic,Ultra Rare (1.58%)
933,Meso K4 Relic,Ultra Rare (1.58%)
934,Meso S12 Relic,Ultra Rare (1.58%)
935,Rotation C,Rotation C
936,Hellfire,Rare (7.59%)
937,Heated Charge,Rare (7.59%)
938,Molten Impact,Ultra Rare (1.84%)
939,Barrel Diffusion,Ultra Rare (1.84%)
940,Streamline,Ultra Rare (1.84%)
941,Intensify,Ultra Rare (1.84%)
942,Thunderbolt,Legendary (0.40%)
943,80 Endo,Rare (7.59%)
944,80 Endo,Ultra Rare (1.84%)
945,True Punishment,Legendary (0.40%)
946,Quickening,Legendary (0.40%)
947,Enduring Strike,Legendary (0.40%)
948,Life Strike,Legendary (0.40%)
949,Meso P11 Relic,Rare (7.59%)
950,Meso H4 Relic,Rare (7.59%)
951,Meso N14 Relic,Rare (7.59%)
952,Meso P10 Relic,Rare (7.59%)
953,Meso D7 Relic,Rare (7.59%)
954,Meso K4 Relic,Rare (7.59%)
955,Meso S12 Relic,Rare (7.59%)
956,Neo S17 Relic,Ultra Rare (1.84%)
957,Neo L2 Relic,Ultra Rare (1.84%)
958,Neo K5 Relic,Ultra Rare (1.84%)
959,Neo N22 Relic,Ultra Rare (1.84%)
960,Neo C3 Relic,Ultra Rare (1.84%)
961,Neo C2 Relic,Ultra Rare (1.84%)
962,Neo M4 Relic,Ultra Rare (1.84%)
963,,
964,Venus/Montes (Exterminate),Venus/Montes (Exterminate)
965,Morphic Transformer,Rare (5.64%)
966,Automatic Trigger,Common (38.72%)
967,Phaedra Receiver,Rare (5.64%)
968,Extend,Common (38.72%)
969,Shell Rush,Rare (5.64%)
970,Shell Rush,Rare (5.64%)
971,,
972,Earth/Mantle (Capture),Earth/Mantle (Capture)
973,Vitality,Uncommon (10.84%)
974,Fast Deflection,Uncommon (10.84%)
975,Rush,Uncommon (11.06%)
976,Magazine Warp,Uncommon (10.84%)
977,Trick Mag,Uncommon (10.84%)
978,Pressure Point,Legendary (0.34%)
979,Ammo Drum,Uncommon (11.06%)
980,Fast Hands,Uncommon (10.84%)
981,Quickdraw,Uncommon (10.84%)
982,Health Restore (Large),Uncommon (10.84%)
983,Omni Ammo Box,Legendary (0.34%)
984,North Wind,Legendary (0.34%)
985,Shocking Touch,Legendary (0.34%)
986,Molten Impact,Legendary (0.34%)
987,Stretch,Legendary (0.34%)
988,,
989,Earth/Cambria (Spy),Earth/Cambria (Spy)
990,Rotation A,Rotation A
991,"1,500 Credits Cache",Uncommon (14.29%)
992,"1,500 Credits Cache",Uncommon (14.29%)
993,100 Endo,Uncommon (14.29%)
994,100 Endo,Uncommon (14.29%)
995,Reflection,Uncommon (14.29%)
996,Reflex Guard,Uncommon (14.29%)
997,Parry,Uncommon (14.29%)
998,Rotation B,Rotation B
999,Lith G6 Relic,Uncommon (14.29%)
1000,Lith H8 Relic,Uncommon (14.29%)
1001,Lith S15 Relic,Uncommon (14.29%)
1002,Lith S14 Relic,Uncommon (14.29%)
1003,Lith B11 Relic,Uncommon (14.29%)
1004,Lith K10 Relic,Uncommon (14.29%)
1005,Lith R3 Relic,Uncommon (14.29%)
1006,Rotation C,Rotation C
1007,Master Key,Uncommon (10.00%)
1008,Reflection,Uncommon (10.00%)
1009,Parry,Uncommon (10.00%)
1010,Heavy Impact,Uncommon (10.00%)
1011,Serration,Uncommon (10.00%)
1012,Hornet Strike,Uncommon (10.00%)
1013,Metal Auger,Uncommon (10.00%)
1014,Volcanic Edge,Uncommon (10.00%)
1015,Vicious Frost,Uncommon (10.00%)
1016,Ivara Systems Blueprint,Uncommon (10.00%)
1017,,
1018,Earth/Everest (Excavation),Earth/Everest (Excavation)
1019,Rotation A,Rotation A
1020,"2,000 Credits Cache",Uncommon (14.29%)
1021,"2,000 Credits Cache",Uncommon (14.29%)
1022,"2,000 Credits Cache",Uncommon (14.29%)
1023,"2,000 Credits Cache",Uncommon (14.29%)
1024,100 Endo,Uncommon (14.29%)
1025,100 Endo,Uncommon (14.29%)
1026,100 Endo,Uncommon (14.29%)
1027,Rotation B,Rotation B
1028,Parry,Rare (7.69%)
1029,Steel Fiber,Rare (7.69%)
1030,Serration,Rare (7.69%)
1031,Incendiary Coat,Rare (7.69%)
1032,Hornet Strike,Rare (7.69%)
1033,Intensify,Rare (7.69%)
1034,Lith G6 Relic,Rare (7.69%)
1035,Lith H8 Relic,Rare (7.69%)
1036,Lith S15 Relic,Rare (7.69%)
1037,Lith S14 Relic,Rare (7.69%)
1038,Lith B11 Relic,Rare (7.69%)
1039,Lith K10 Relic,Rare (7.69%)
1040,Lith R3 Relic,Rare (7.69%)
1041,Rotation C,Rotation C
1042,Arrow Mutation,Rare (3.76%)
1043,Rifle Ammo Mutation,Rare (3.76%)
1044,Sniper Ammo Mutation,Rare (3.76%)
1045,Shotgun Ammo Mutation,Rare (3.76%)
1046,Pistol Ammo Mutation,Rare (3.76%)
1047,Cleanse Grineer,Rare (3.76%)
1048,Lith G6 Relic,Uncommon (11.06%)
1049,Lith H8 Relic,Uncommon (11.06%)
1050,Lith S15 Relic,Uncommon (11.06%)
1051,Lith S14 Relic,Uncommon (11.06%)
1052,Lith B11 Relic,Uncommon (11.06%)
1053,Lith K10 Relic,Uncommon (11.06%)
1054,Lith R3 Relic,Uncommon (11.06%)
1055,,
1056,Earth/Pacific (Rescue),Earth/Pacific (Rescue)
1057,Rotation B,Rotation B
1058,Vapor Specter Blueprint,Very Common (100.00%)
1059,Rotation C,Rotation C
1060,Phase Specter Blueprint,Very Common (100.00%)
1061,,
1062,Earth/Lith (Defense),Earth/Lith (Defense)
1063,Rotation A,Rotation A
1064,Magazine Warp,Rare (9.09%)
1065,Trick Mag,Rare (9.09%)
1066,Pressure Point,Rare (9.09%)
1067,Ammo Drum,Rare (9.09%)
1068,Lith G6 Relic,Rare (9.09%)
1069,Lith H8 Relic,Rare (9.09%)
1070,Lith S15 Relic,Rare (9.09%)
1071,Lith S14 Relic,Rare (9.09%)
1072,Lith B11 Relic,Rare (9.09%)
1073,Lith K10 Relic,Rare (9.09%)
1074,Lith R3 Relic,Rare (9.09%)
1075,Rotation B,Rotation B
1076,Reflex Coil,Rare (8.33%)
1077,Cryo Rounds,Rare (8.33%)
1078,Hell's Chamber,Rare (8.33%)
1079,Shocking Touch,Rare (8.33%)
1080,100 Endo,Rare (8.33%)
1081,Meso P11 Relic,Rare (8.33%)
1082,Meso H4 Relic,Rare (8.33%)
1083,Meso N14 Relic,Rare (8.33%)
1084,Meso P10 Relic,Rare (8.33%)
1085,Meso D7 Relic,Rare (8.33%)
1086,Meso K4 Relic,Rare (8.33%)
1087,Meso S12 Relic,Rare (8.33%)
1088,Rotation C,Rotation C
1089,Metal Auger,Rare (8.33%)
1090,Ravage,Rare (8.33%)
1091,Continuity,Rare (8.33%)
1092,Master Thief,Rare (8.33%)
1093,200 Endo,Rare (8.33%)
1094,Meso P11 Relic,Rare (8.33%)
1095,Meso H4 Relic,Rare (8.33%)
1096,Meso N14 Relic,Rare (8.33%)
1097,Meso P10 Relic,Rare (8.33%)
1098,Meso D7 Relic,Rare (8.33%)
1099,Meso K4 Relic,Rare (8.33%)
1100,Meso S12 Relic,Rare (8.33%)
1101,,
1102,Earth/Sover Strait (Skirmish),Earth/Sover Strait (Skirmish)
1103,100 Endo,Uncommon (20.00%)
1104,150 Endo,Uncommon (10.00%)
1105,2X Riven Sliver,Ultra Rare (1.00%)
1106,Lavan Engines Mk I,Rare (6.00%)
1107,Lavan Reactor Mk I,Rare (6.00%)
1108,Lavan Shield Array Mk I,Rare (6.00%)
1109,Lavan Plating Mk I,Rare (6.00%)
1110,Vidar Engines Mk I,Rare (6.00%)
1111,Vidar Reactor Mk I,Rare (6.00%)
1112,Vidar Shield Array Mk I,Rare (6.00%)
1113,Vidar Plating Mk I,Rare (6.00%)
1114,Lith G6 Relic,Rare (3.00%)
1115,Lith H8 Relic,Rare (3.00%)
1116,Lith S15 Relic,Rare (3.00%)
1117,Lith S14 Relic,Rare (3.00%)
1118,Lith B11 Relic,Rare (3.00%)
1119,Lith K10 Relic,Rare (3.00%)
1120,Lith R3 Relic,Rare (3.00%)
1121,,
1122,Earth/Sover Strait (Skirmish) Extra,Earth/Sover Strait (Skirmish) Extra
1123,200X Carbides,Uncommon (28.57%)
1124,200X Titanium,Uncommon (28.57%)
1125,5X Gallos Rods,Uncommon (14.29%)
1126,5X Asterite,Uncommon (14.29%)
1127,Komms,Rare (7.14%)
1128,Nullstones,Rare (7.14%)
1129,,
1130,Earth/Sover Strait (Caches),Earth/Sover Strait (Caches)
1131,Oberon Neuroptics Blueprint,Uncommon (10.00%)
1132,Oberon Systems Blueprint,Uncommon (10.00%)
1133,Tether,Rare (4.00%)
1134,Particle Ram,Rare (4.00%)
1135,Shatter Burst,Rare (4.00%)
1136,Lith G6 Relic,Rare (5.00%)
1137,Lith H8 Relic,Rare (5.00%)
1138,Lith S15 Relic,Rare (5.00%)
1139,Lith S14 Relic,Rare (5.00%)
1140,Lith B11 Relic,Rare (5.00%)
1141,Lith K10 Relic,Rare (5.00%)
1142,Lith R3 Relic,Rare (5.00%)
1143,Meso N11 Relic,Rare (5.00%)
1144,150 Endo,Uncommon (12.00%)
1145,100 Endo,Uncommon (16.00%)
1146,,
1147,Earth/Iota Temple (Skirmish),Earth/Iota Temple (Skirmish)
1148,100 Endo,Uncommon (20.00%)
1149,150 Endo,Uncommon (10.00%)
1150,2X Riven Sliver,Ultra Rare (1.00%)
1151,Lavan Engines Mk I,Rare (6.00%)
1152,Lavan Reactor Mk I,Rare (6.00%)
1153,Lavan Shield Array Mk I,Rare (6.00%)
1154,Lavan Plating Mk I,Rare (6.00%)
1155,Vidar Engines Mk I,Rare (6.00%)
1156,Vidar Reactor Mk I,Rare (6.00%)
1157,Vidar Shield Array Mk I,Rare (6.00%)
1158,Vidar Plating Mk I,Rare (6.00%)
1159,Lith G6 Relic,Rare (3.00%)
1160,Lith H8 Relic,Rare (3.00%)
1161,Lith S15 Relic,Rare (3.00%)
1162,Lith S14 Relic,Rare (3.00%)
1163,Lith B11 Relic,Rare (3.00%)
1164,Lith K10 Relic,Rare (3.00%)
1165,Lith R3 Relic,Rare (3.00%)
1166,,
1167,Earth/Iota Temple (Skirmish) Extra,Earth/Iota Temple (Skirmish) Extra
1168,200X Carbides,Uncommon (28.57%)
1169,200X Titanium,Uncommon (28.57%)
1170,5X Gallos Rods,Uncommon (14.29%)
1171,5X Asterite,Uncommon (14.29%)
1172,Komms,Rare (7.14%)
1173,Nullstones,Rare (7.14%)
1174,,
1175,Earth/Iota Temple (Caches),Earth/Iota Temple (Caches)
1176,Oberon Neuroptics Blueprint,Uncommon (10.00%)
1177,Oberon Systems Blueprint,Uncommon (10.00%)
1178,Tether,Rare (4.00%)
1179,Particle Ram,Rare (4.00%)
1180,Shatter Burst,Rare (4.00%)
1181,Lith G6 Relic,Rare (5.00%)
1182,Lith H8 Relic,Rare (5.00%)
1183,Lith S15 Relic,Rare (5.00%)
1184,Lith S14 Relic,Rare (5.00%)
1185,Lith B11 Relic,Rare (5.00%)
1186,Lith K10 Relic,Rare (5.00%)
1187,Lith R3 Relic,Rare (5.00%)
1188,Meso N11 Relic,Rare (5.00%)
1189,150 Endo,Uncommon (12.00%)
1190,100 Endo,Uncommon (16.00%)
1191,,
1192,Earth/Gaia (Interception),Earth/Gaia (Interception)
1193,Rotation A,Rotation A
1194,Vitality,Uncommon (10.00%)
1195,Magazine Warp,Uncommon (10.00%)
1196,Trick Mag,Uncommon (10.00%)
1197,Lith G6 Relic,Uncommon (10.00%)
1198,Lith H8 Relic,Uncommon (10.00%)
1199,Lith S15 Relic,Uncommon (10.00%)
1200,Lith S14 Relic,Uncommon (10.00%)
1201,Lith B11 Relic,Uncommon (10.00%)
1202,Lith K10 Relic,Uncommon (10.00%)
1203,Lith R3 Relic,Uncommon (10.00%)
1204,Rotation B,Rotation B
1205,Speed Trigger,Rare (5.88%)
1206,Fast Deflection,Rare (5.88%)
1207,Rush,Rare (5.88%)
1208,Target Cracker,Rare (5.88%)
1209,No Return,Rare (5.88%)
1210,Serration,Rare (5.88%)
1211,Hornet Strike,Rare (5.88%)
1212,Reflex Coil,Rare (5.88%)
1213,Deep Freeze,Rare (5.88%)
1214,North Wind,Rare (5.88%)
1215,Meso P11 Relic,Rare (5.88%)
1216,Meso H4 Relic,Rare (5.88%)
1217,Meso N14 Relic,Rare (5.88%)
1218,Meso P10 Relic,Rare (5.88%)
1219,Meso D7 Relic,Rare (5.88%)
1220,Meso K4 Relic,Rare (5.88%)
1221,Meso S12 Relic,Rare (5.88%)
1222,Rotation C,Rotation C
1223,Natural Talent,Rare (2.58%)
1224,Meso P11 Relic,Uncommon (13.92%)
1225,Meso H4 Relic,Uncommon (13.92%)
1226,Meso N14 Relic,Uncommon (13.92%)
1227,Meso P10 Relic,Uncommon (13.92%)
1228,Meso D7 Relic,Uncommon (13.92%)
1229,Meso K4 Relic,Uncommon (13.92%)
1230,Meso S12 Relic,Uncommon (13.92%)
1231,,
1232,Earth/Cervantes (Caches),Earth/Cervantes (Caches)
1233,Rotation A,Rotation A
1234,"2,500 Credits Cache",Very Common (100.00%)
1235,Rotation B,Rotation B
1236,300X Ferrite,Uncommon (12.18%)
1237,150X Rubedo,Uncommon (12.18%)
1238,Detonite Ampule,Uncommon (12.18%)
1239,100 Endo,Uncommon (12.18%)
1240,100 Endo,Uncommon (12.18%)
1241,"3,000 Credits Cache",Uncommon (12.18%)
1242,"3,000 Credits Cache",Uncommon (12.18%)
1243,Neurodes,Uncommon (12.18%)
1244,Kubrow Egg,Rare (2.58%)
1245,Rotation C,Rotation C
1246,Health Restore (Large),Uncommon (15.10%)
1247,Health Restore (Large),Uncommon (15.10%)
1248,200 Endo,Uncommon (15.10%)
1249,200 Endo,Uncommon (15.10%)
1250,Neurodes,Uncommon (15.10%)
1251,Bite,Rare (3.67%)
1252,Link Armor,Rare (3.67%)
1253,Link Health,Rare (3.67%)
1254,Link Shields,Rare (3.67%)
1255,Maul,Rare (3.67%)
1256,Hastened Deflection,Rare (3.67%)
1257,Forma Blueprint,Rare (2.00%)
1258,Forma,Legendary (0.50%)
1259,,
1260,Earth/Oro (Assassination),Earth/Oro (Assassination)
1261,Hydroid Neuroptics Blueprint,Common (38.72%)
1262,Hydroid Chassis Blueprint,Common (38.72%)
1263,Hydroid Systems Blueprint,Uncommon (22.56%)
1264,,
1265,Earth/Coba (Defense),Earth/Coba (Defense)
1266,Rotation A,Rotation A
1267,Vitality,Rare (6.90%)
1268,Fast Deflection,Rare (6.90%)
1269,Rush,Rare (7.37%)
1270,Magazine Warp,Rare (6.90%)
1271,Trick Mag,Rare (6.90%)
1272,Pressure Point,Ultra Rare (1.01%)
1273,Ammo Drum,Rare (7.37%)
1274,Fast Hands,Rare (7.37%)
1275,True Punishment,Ultra Rare (1.01%)
1276,Lith G6 Relic,Rare (6.90%)
1277,Lith H8 Relic,Rare (6.90%)
1278,Lith S15 Relic,Rare (6.90%)
1279,Lith S14 Relic,Rare (6.90%)
1280,Lith B11 Relic,Rare (6.90%)
1281,Lith K10 Relic,Rare (6.90%)
1282,Lith R3 Relic,Rare (6.90%)
1283,Rotation B,Rotation B
1284,Speed Trigger,Rare (8.43%)
1285,Fast Hands,Ultra Rare (1.58%)
1286,Point Strike,Rare (8.43%)
1287,Vital Sense,Rare (8.43%)
1288,Piercing Hit,Ultra Rare (1.58%)
1289,Metal Auger,Ultra Rare (1.58%)
1290,Pistol Gambit,Rare (8.43%)
1291,Target Cracker,Rare (8.43%)
1292,No Return,Rare (8.43%)
1293,Ravage,Rare (8.43%)
1294,Blunderbuss,Rare (8.43%)
1295,Point Blank,Ultra Rare (1.58%)
1296,Serration,Ultra Rare (1.58%)
1297,Hornet Strike,Ultra Rare (1.58%)
1298,Fury,Legendary (0.67%)
1299,Reflex Coil,Ultra Rare (1.58%)
1300,Pressure Point,Rare (8.43%)
1301,True Punishment,Legendary (0.67%)
1302,Quickening,Legendary (0.67%)
1303,Meso P11 Relic,Ultra Rare (1.58%)
1304,Meso H4 Relic,Ultra Rare (1.58%)
1305,Meso N14 Relic,Ultra Rare (1.58%)
1306,Meso P10 Relic,Ultra Rare (1.58%)
1307,Meso D7 Relic,Ultra Rare (1.58%)
1308,Meso K4 Relic,Ultra Rare (1.58%)
1309,Meso S12 Relic,Ultra Rare (1.58%)
1310,Rotation C,Rotation C
1311,Hellfire,Rare (7.59%)
1312,Heated Charge,Rare (7.59%)
1313,Molten Impact,Ultra Rare (1.84%)
