,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
573,Fang Prime Blade,Uncommon (16.67%)
574,,
575,Axi B3 Relic (Intact),Axi B3 Relic (Intact)
576,Baza Prime Stock,Rare (2.00%)
577,Zhuge Prime Receiver,Uncommon (11.00%)
578,Atlas Prime Chassis Blueprint,Uncommon (11.00%)
579,Paris Prime Lower Limb,Uncommon (25.33%)
580,Stradavar Prime Stock,Uncommon (25.33%)
581,Forma Blueprint,Uncommon (25.33%)
582,,
583,Axi B3 Relic (Exceptional),Axi B3 Relic (Exceptional)
584,Baza Prime Stock,Rare (4.00%)
585,Zhuge Prime Receiver,Uncommon (13.00%)
586,Atlas Prime Chassis Blueprint,Uncommon (13.00%)
587,Paris Prime Lower Limb,Uncommon (23.33%)
588,Stradavar Prime Stock,Uncommon (23.33%)
589,Forma Blueprint,Uncommon (23.33%)
590,,
591,Axi B3 Relic (Flawless),Axi B3 Relic (Flawless)
592,Baza Prime Stock,Rare (6.00%)
593,Zhuge Prime Receiver,Uncommon (17.00%)
594,Atlas Prime Chassis Blueprint,Uncommon (17.00%)
595,Paris Prime Lower Limb,Uncommon (20.00%)
596,Stradavar Prime Stock,Uncommon (20.00%)
597,Forma Blueprint,Uncommon (20.00%)
598,,
599,Axi B3 Relic (Radiant),Axi B3 Relic (Radiant)
600,Baza Prime Stock,Uncommon (10.00%)
601,Zhuge Prime Receiver,Uncommon (20.00%)
602,Atlas Prime Chassis Blueprint,Uncommon (20.00%)
603,Paris Prime Lower Limb,Uncommon (16.67%)
604,Stradavar Prime Stock,Uncommon (16.67%)
605,Forma Blueprint,Uncommon (16.67%)
606,,
607,Axi B4 Relic (Intact),Axi B4 Relic (Intact)
608,Baza Prime Blueprint,Rare (2.00%)
609,Ivara Prime Blueprint,Uncommon (11.00%)
610,Karyst Prime Handle,Uncommon (11.00%)
611,Aksomati Prime Blueprint,Uncommon (25.33%)
612,Akjagara Prime Blueprint,Uncommon (25.33%)
613,Paris Prime Lower Limb,Uncommon (25.33%)
614,,
615,Axi B4 Relic (Exceptional),Axi B4 Relic (Exceptional)
616,Baza Prime Blueprint,Rare (4.00%)
617,Ivara Prime Blueprint,Uncommon (13.00%)
618,Karyst Prime Handle,Uncommon (13.00%)
619,Aksomati Prime Blueprint,Uncommon (23.33%)
620,Akjagara Prime Blueprint,Uncommon (23.33%)
621,Paris Prime Lower Limb,Uncommon (23.33%)
622,,
623,Axi B4 Relic (Flawless),Axi B4 Relic (Flawless)
624,Baza Prime Blueprint,Rare (6.00%)
625,Ivara Prime Blueprint,Uncommon (17.00%)
626,Karyst Prime Handle,Uncommon (17.00%)
627,Aksomati Prime Blueprint,Uncommon (20.00%)
628,Akjagara Prime Blueprint,Uncommon (20.00%)
629,Paris Prime Lower Limb,Uncommon (20.00%)
630,,
631,Axi B4 Relic (Radiant),Axi B4 Relic (Radiant)
632,Baza Prime Blueprint,Uncommon (10.00%)
633,Ivara Prime Blueprint,Uncommon (20.00%)
634,Karyst Prime Handle,Uncommon (20.00%)
635,Aksomati Prime Blueprint,Uncommon (16.67%)
636,Akjagara Prime Blueprint,Uncommon (16.67%)
637,Paris Prime Lower Limb,Uncommon (16.67%)
638,,
639,Axi B5 Relic (Intact),Axi B5 Relic (Intact)
640,Baruuk Prime Neuroptics Blueprint,Rare (2.00%)
641,Nagantaka Prime Receiver,Uncommon (11.00%)
642,Volnus Prime Head,Uncommon (11.00%)
643,Paris Prime Lower Limb,Uncommon (25.33%)
644,Knell Prime Blueprint,Uncommon (25.33%)
645,Forma Blueprint,Uncommon (25.33%)
646,,
647,Axi B5 Relic (Exceptional),Axi B5 Relic (Exceptional)
648,Baruuk Prime Neuroptics Blueprint,Rare (4.00%)
649,Nagantaka Prime Receiver,Uncommon (13.00%)
650,Volnus Prime Head,Uncommon (13.00%)
651,Paris Prime Lower Limb,Uncommon (23.33%)
652,Knell Prime Blueprint,Uncommon (23.33%)
653,Forma Blueprint,Uncommon (23.33%)
654,,
655,Axi B5 Relic (Flawless),Axi B5 Relic (Flawless)
656,Baruuk Prime Neuroptics Blueprint,Rare (6.00%)
657,Nagantaka Prime Receiver,Uncommon (17.00%)
658,Volnus Prime Head,Uncommon (17.00%)
659,Paris Prime Lower Limb,Uncommon (20.00%)
660,Knell Prime Blueprint,Uncommon (20.00%)
661,Forma Blueprint,Uncommon (20.00%)
662,,
663,Axi B5 Relic (Radiant),Axi B5 Relic (Radiant)
664,Baruuk Prime Neuroptics Blueprint,Uncommon (10.00%)
665,Nagantaka Prime Receiver,Uncommon (20.00%)
666,Volnus Prime Head,Uncommon (20.00%)
667,Paris Prime Lower Limb,Uncommon (16.67%)
668,Knell Prime Blueprint,Uncommon (16.67%)
669,Forma Blueprint,Uncommon (16.67%)
670,,
671,Axi B6 Relic (Intact),Axi B6 Relic (Intact)
672,Baruuk Prime Neuroptics Blueprint,Rare (2.00%)
673,Shade Prime Systems,Uncommon (11.00%)
674,Garuda Prime Chassis Blueprint,Uncommon (11.00%)
675,Lex Prime Barrel,Uncommon (25.33%)
676,Forma Blueprint,Uncommon (25.33%)
677,Afuris Prime Blueprint,Uncommon (25.33%)
678,,
679,Axi B6 Relic (Exceptional),Axi B6 Relic (Exceptional)
680,Baruuk Prime Neuroptics Blueprint,Rare (4.00%)
681,Shade Prime Systems,Uncommon (13.00%)
682,Garuda Prime Chassis Blueprint,Uncommon (13.00%)
683,Lex Prime Barrel,Uncommon (23.33%)
684,Forma Blueprint,Uncommon (23.33%)
685,Afuris Prime Blueprint,Uncommon (23.33%)
686,,
687,Axi B6 Relic (Flawless),Axi B6 Relic (Flawless)
688,Baruuk Prime Neuroptics Blueprint,Rare (6.00%)
689,Shade Prime Systems,Uncommon (17.00%)
690,Garuda Prime Chassis Blueprint,Uncommon (17.00%)
691,Lex Prime Barrel,Uncommon (20.00%)
692,Forma Blueprint,Uncommon (20.00%)
693,Afuris Prime Blueprint,Uncommon (20.00%)
694,,
695,Axi B6 Relic (Radiant),Axi B6 Relic (Radiant)
696,Baruuk Prime Neuroptics Blueprint,Uncommon (10.00%)
697,Shade Prime Systems,Uncommon (20.00%)
698,Garuda Prime Chassis Blueprint,Uncommon (20.00%)
699,Lex Prime Barrel,Uncommon (16.67%)
700,Forma Blueprint,Uncommon (16.67%)
701,Afuris Prime Blueprint,Uncommon (16.67%)
702,,
703,Axi C1 Relic (Intact),Axi C1 Relic (Intact)
704,Cernos Prime Lower Limb,Rare (2.00%)
705,Orthos Prime Blueprint,Uncommon (11.00%)
706,Forma Blueprint,Uncommon (11.00%)
707,Trinity Prime Neuroptics Blueprint,Uncommon (25.33%)
708,Vectis Prime Barrel,Uncommon (25.33%)
709,Lex Prime Receiver,Uncommon (25.33%)
710,,
711,Axi C1 Relic (Exceptional),Axi C1 Relic (Exceptional)
712,Cernos Prime Lower Limb,Rare (4.00%)
713,Orthos Prime Blueprint,Uncommon (13.00%)
714,Forma Blueprint,Uncommon (13.00%)
715,Trinity Prime Neuroptics Blueprint,Uncommon (23.33%)
716,Vectis Prime Barrel,Uncommon (23.33%)
717,Lex Prime Receiver,Uncommon (23.33%)
718,,
719,Axi C1 Relic (Flawless),Axi C1 Relic (Flawless)
720,Cernos Prime Lower Limb,Rare (6.00%)
721,Orthos Prime Blueprint,Uncommon (17.00%)
722,Forma Blueprint,Uncommon (17.00%)
723,Trinity Prime Neuroptics Blueprint,Uncommon (20.00%)
724,Vectis Prime Barrel,Uncommon (20.00%)
725,Lex Prime Receiver,Uncommon (20.00%)
726,,
727,Axi C1 Relic (Radiant),Axi C1 Relic (Radiant)
728,Cernos Prime Lower Limb,Uncommon (10.00%)
729,Orthos Prime Blueprint,Uncommon (20.00%)
730,Forma Blueprint,Uncommon (20.00%)
731,Trinity Prime Neuroptics Blueprint,Uncommon (16.67%)
732,Vectis Prime Barrel,Uncommon (16.67%)
733,Lex Prime Receiver,Uncommon (16.67%)
734,,
735,Axi C2 Relic (Intact),Axi C2 Relic (Intact)
736,Cernos Prime Lower Limb,Rare (2.00%)
737,Silva & Aegis Prime Blade,Uncommon (11.00%)
738,Fragor Prime Handle,Uncommon (11.00%)
739,Forma Blueprint,Uncommon (25.33%)
740,Trinity Prime Systems Blueprint,Uncommon (25.33%)
741,Braton Prime Blueprint,Uncommon (25.33%)
742,,
743,Axi C2 Relic (Exceptional),Axi C2 Relic (Exceptional)
744,Cernos Prime Lower Limb,Rare (4.00%)
745,Silva & Aegis Prime Blade,Uncommon (13.00%)
746,Fragor Prime Handle,Uncommon (13.00%)
747,Forma Blueprint,Uncommon (23.33%)
748,Trinity Prime Systems Blueprint,Uncommon (23.33%)
749,Braton Prime Blueprint,Uncommon (23.33%)
750,,
751,Axi C2 Relic (Flawless),Axi C2 Relic (Flawless)
752,Cernos Prime Lower Limb,Rare (6.00%)
753,Silva & Aegis Prime Blade,Uncommon (17.00%)
754,Fragor Prime Handle,Uncommon (17.00%)
755,Forma Blueprint,Uncommon (20.00%)
756,Trinity Prime Systems Blueprint,Uncommon (20.00%)
757,Braton Prime Blueprint,Uncommon (20.00%)
758,,
759,Axi C2 Relic (Radiant),Axi C2 Relic (Radiant)
760,Cernos Prime Lower Limb,Uncommon (10.00%)
761,Silva & Aegis Prime Blade,Uncommon (20.00%)
762,Fragor Prime Handle,Uncommon (20.00%)
763,Forma Blueprint,Uncommon (16.67%)
764,Trinity Prime Systems Blueprint,Uncommon (16.67%)
765,Braton Prime Blueprint,Uncommon (16.67%)
766,,
767,Axi C3 Relic (Intact),Axi C3 Relic (Intact)
768,Chroma Prime Systems Blueprint,Rare (2.00%)
769,Banshee Prime Blueprint,Uncommon (11.00%)
770,Pyrana Prime Receiver,Uncommon (11.00%)
771,Helios Prime Carapace,Uncommon (25.33%)
772,Forma Blueprint,Uncommon (25.33%)
773,Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
774,,
775,Axi C3 Relic (Exceptional),Axi C3 Relic (Exceptional)
776,Chroma Prime Systems Blueprint,Rare (4.00%)
777,Banshee Prime Blueprint,Uncommon (13.00%)
778,Pyrana Prime Receiver,Uncommon (13.00%)
779,Helios Prime Carapace,Uncommon (23.33%)
780,Forma Blueprint,Uncommon (23.33%)
781,Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
782,,
783,Axi C3 Relic (Flawless),Axi C3 Relic (Flawless)
784,Chroma Prime Systems Blueprint,Rare (6.00%)
785,Banshee Prime Blueprint,Uncommon (17.00%)
786,Pyrana Prime Receiver,Uncommon (17.00%)
787,Helios Prime Carapace,Uncommon (20.00%)
788,Forma Blueprint,Uncommon (20.00%)
789,Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
790,,
791,Axi C3 Relic (Radiant),Axi C3 Relic (Radiant)
792,Chroma Prime Systems Blueprint,Uncommon (10.00%)
793,Banshee Prime Blueprint,Uncommon (20.00%)
794,Pyrana Prime Receiver,Uncommon (20.00%)
795,Helios Prime Carapace,Uncommon (16.67%)
796,Forma Blueprint,Uncommon (16.67%)
797,Hydroid Prime Chassis Blueprint,Uncommon (16.67%)
798,,
799,Axi C4 Relic (Intact),Axi C4 Relic (Intact)
800,Chroma Prime Systems Blueprint,Rare (2.00%)
801,Sybaris Prime Receiver,Uncommon (11.00%)
802,Kogake Prime Blueprint,Uncommon (11.00%)
803,Braton Prime Blueprint,Uncommon (25.33%)
804,Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
805,Pyrana Prime Barrel,Uncommon (25.33%)
806,,
807,Axi C4 Relic (Exceptional),Axi C4 Relic (Exceptional)
808,Chroma Prime Systems Blueprint,Rare (4.00%)
809,Sybaris Prime Receiver,Uncommon (13.00%)
810,Kogake Prime Blueprint,Uncommon (13.00%)
811,Braton Prime Blueprint,Uncommon (23.33%)
812,Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
813,Pyrana Prime Barrel,Uncommon (23.33%)
814,,
815,Axi C4 Relic (Flawless),Axi C4 Relic (Flawless)
816,Chroma Prime Systems Blueprint,Rare (6.00%)
817,Sybaris Prime Receiver,Uncommon (17.00%)
818,Kogake Prime Blueprint,Uncommon (17.00%)
819,Braton Prime Blueprint,Uncommon (20.00%)
820,Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
821,Pyrana Prime Barrel,Uncommon (20.00%)
822,,
823,Axi C4 Relic (Radiant),Axi C4 Relic (Radiant)
824,Chroma Prime Systems Blueprint,Uncommon (10.00%)
825,Sybaris Prime Receiver,Uncommon (20.00%)
826,Kogake Prime Blueprint,Uncommon (20.00%)
827,Braton Prime Blueprint,Uncommon (16.67%)
828,Hydroid Prime Chassis Blueprint,Uncommon (16.67%)
829,Pyrana Prime Barrel,Uncommon (16.67%)
830,,
831,Axi C5 Relic (Intact),Axi C5 Relic (Intact)
832,Corinth Prime Barrel,Rare (2.00%)
833,Tipedo Prime Ornament,Uncommon (11.00%)
834,Akbronco Prime Link,Uncommon (11.00%)
835,Braton Prime Barrel,Uncommon (25.33%)
836,Panthera Prime Blueprint,Uncommon (25.33%)
837,Tekko Prime Gauntlet,Uncommon (25.33%)
838,,
839,Axi C5 Relic (Exceptional),Axi C5 Relic (Exceptional)
840,Corinth Prime Barrel,Rare (4.00%)
841,Tipedo Prime Ornament,Uncommon (13.00%)
842,Akbronco Prime Link,Uncommon (13.00%)
843,Braton Prime Barrel,Uncommon (23.33%)
844,Panthera Prime Blueprint,Uncommon (23.33%)
845,Tekko Prime Gauntlet,Uncommon (23.33%)
846,,
847,Axi C5 Relic (Flawless),Axi C5 Relic (Flawless)
848,Corinth Prime Barrel,Rare (6.00%)
849,Tipedo Prime Ornament,Uncommon (17.00%)
850,Akbronco Prime Link,Uncommon (17.00%)
851,Braton Prime Barrel,Uncommon (20.00%)
852,Panthera Prime Blueprint,Uncommon (20.00%)
853,Tekko Prime Gauntlet,Uncommon (20.00%)
854,,
855,Axi C5 Relic (Radiant),Axi C5 Relic (Radiant)
856,Corinth Prime Barrel,Uncommon (10.00%)
857,Tipedo Prime Ornament,Uncommon (20.00%)
858,Akbronco Prime Link,Uncommon (20.00%)
859,Braton Prime Barrel,Uncommon (16.67%)
860,Panthera Prime Blueprint,Uncommon (16.67%)
861,Tekko Prime Gauntlet,Uncommon (16.67%)
862,,
863,Axi C6 Relic (Intact),Axi C6 Relic (Intact)
864,Corinth Prime Barrel,Rare (2.00%)
865,Pandero Prime Barrel,Uncommon (11.00%)
866,Ivara Prime Systems Blueprint,Uncommon (11.00%)
867,Pangolin Prime Handle,Uncommon (25.33%)
868,Karyst Prime Blueprint,Uncommon (25.33%)
869,Forma Blueprint,Uncommon (25.33%)
870,,
871,Axi C6 Relic (Exceptional),Axi C6 Relic (Exceptional)
872,Corinth Prime Barrel,Rare (4.00%)
873,Pandero Prime Barrel,Uncommon (13.00%)
874,Ivara Prime Systems Blueprint,Uncommon (13.00%)
875,Pangolin Prime Handle,Uncommon (23.33%)
876,Karyst Prime Blueprint,Uncommon (23.33%)
877,Forma Blueprint,Uncommon (23.33%)
878,,
879,Axi C6 Relic (Flawless),Axi C6 Relic (Flawless)
880,Corinth Prime Barrel,Rare (6.00%)
881,Pandero Prime Barrel,Uncommon (17.00%)
882,Ivara Prime Systems Blueprint,Uncommon (17.00%)
883,Pangolin Prime Handle,Uncommon (20.00%)
884,Karyst Prime Blueprint,Uncommon (20.00%)
885,Forma Blueprint,Uncommon (20.00%)
886,,
887,Axi C6 Relic (Radiant),Axi C6 Relic (Radiant)
888,Corinth Prime Barrel,Uncommon (10.00%)
889,Pandero Prime Barrel,Uncommon (20.00%)
890,Ivara Prime Systems Blueprint,Uncommon (20.00%)
891,Pangolin Prime Handle,Uncommon (16.67%)
892,Karyst Prime Blueprint,Uncommon (16.67%)
893,Forma Blueprint,Uncommon (16.67%)
894,,
895,Axi C7 Relic (Intact),Axi C7 Relic (Intact)
896,Corinth Prime Barrel,Rare (2.00%)
897,Volnus Prime Head,Uncommon (11.00%)
898,Tenora Prime Stock,Uncommon (11.00%)
899,Bronco Prime Blueprint,Uncommon (25.33%)
900,Magnus Prime Blueprint,Uncommon (25.33%)
901,Lex Prime Receiver,Uncommon (25.33%)
902,,
903,Axi C7 Relic (Exceptional),Axi C7 Relic (Exceptional)
904,Corinth Prime Barrel,Rare (4.00%)
905,Volnus Prime Head,Uncommon (13.00%)
906,Tenora Prime Stock,Uncommon (13.00%)
907,Bronco Prime Blueprint,Uncommon (23.33%)
908,Magnus Prime Blueprint,Uncommon (23.33%)
909,Lex Prime Receiver,Uncommon (23.33%)
910,,
911,Axi C7 Relic (Flawless),Axi C7 Relic (Flawless)
912,Corinth Prime Barrel,Rare (6.00%)
913,Volnus Prime Head,Uncommon (17.00%)
914,Tenora Prime Stock,Uncommon (17.00%)
915,Bronco Prime Blueprint,Uncommon (20.00%)
916,Magnus Prime Blueprint,Uncommon (20.00%)
917,Lex Prime Receiver,Uncommon (20.00%)
918,,
919,Axi C7 Relic (Radiant),Axi C7 Relic (Radiant)
920,Corinth Prime Barrel,Uncommon (10.00%)
921,Volnus Prime Head,Uncommon (20.00%)
922,Tenora Prime Stock,Uncommon (20.00%)
923,Bronco Prime Blueprint,Uncommon (16.67%)
924,Magnus Prime Blueprint,Uncommon (16.67%)
925,Lex Prime Receiver,Uncommon (16.67%)
926,,
927,Axi D1 Relic (Intact),Axi D1 Relic (Intact)
928,Destreza Prime Blade,Rare (2.00%)
929,Zhuge Prime Receiver,Uncommon (11.00%)
930,Forma Blueprint,Uncommon (11.00%)
931,Braton Prime Blueprint,Uncommon (25.33%)
932,Chroma Prime Blueprint,Uncommon (25.33%)
933,Tiberon Prime Receiver,Uncommon (25.33%)
934,,
935,Axi D1 Relic (Exceptional),Axi D1 Relic (Exceptional)
936,Destreza Prime Blade,Rare (4.00%)
937,Zhuge Prime Receiver,Uncommon (13.00%)
938,Forma Blueprint,Uncommon (13.00%)
939,Braton Prime Blueprint,Uncommon (23.33%)
940,Chroma Prime Blueprint,Uncommon (23.33%)
941,Tiberon Prime Receiver,Uncommon (23.33%)
942,,
943,Axi D1 Relic (Flawless),Axi D1 Relic (Flawless)
944,Destreza Prime Blade,Rare (6.00%)
945,Zhuge Prime Receiver,Uncommon (17.00%)
946,Forma Blueprint,Uncommon (17.00%)
947,Braton Prime Blueprint,Uncommon (20.00%)
948,Chroma Prime Blueprint,Uncommon (20.00%)
949,Tiberon Prime Receiver,Uncommon (20.00%)
950,,
951,Axi D1 Relic (Radiant),Axi D1 Relic (Radiant)
952,Destreza Prime Blade,Uncommon (10.00%)
953,Zhuge Prime Receiver,Uncommon (20.00%)
954,Forma Blueprint,Uncommon (20.00%)
955,Braton Prime Blueprint,Uncommon (16.67%)
956,Chroma Prime Blueprint,Uncommon (16.67%)
957,Tiberon Prime Receiver,Uncommon (16.67%)
958,,
959,Axi D2 Relic (Intact),Axi D2 Relic (Intact)
960,Destreza Prime Blade,Rare (2.00%)
961,Forma Blueprint,Uncommon (11.00%)
962,Rubico Prime Stock,Uncommon (11.00%)
963,Aksomati Prime Receiver,Uncommon (25.33%)
964,Braton Prime Blueprint,Uncommon (25.33%)
965,Destreza Prime Handle,Uncommon (25.33%)
966,,
967,Axi D2 Relic (Exceptional),Axi D2 Relic (Exceptional)
968,Destreza Prime Blade,Rare (4.00%)
969,Forma Blueprint,Uncommon (13.00%)
970,Rubico Prime Stock,Uncommon (13.00%)
971,Aksomati Prime Receiver,Uncommon (23.33%)
972,Braton Prime Blueprint,Uncommon (23.33%)
973,Destreza Prime Handle,Uncommon (23.33%)
974,,
975,Axi D2 Relic (Flawless),Axi D2 Relic (Flawless)
976,Destreza Prime Blade,Rare (6.00%)
977,Forma Blueprint,Uncommon (17.00%)
978,Rubico Prime Stock,Uncommon (17.00%)
979,Aksomati Prime Receiver,Uncommon (20.00%)
980,Braton Prime Blueprint,Uncommon (20.00%)
981,Destreza Prime Handle,Uncommon (20.00%)
982,,
983,Axi D2 Relic (Radiant),Axi D2 Relic (Radiant)
984,Destreza Prime Blade,Uncommon (10.00%)
985,Forma Blueprint,Uncommon (20.00%)
986,Rubico Prime Stock,Uncommon (20.00%)
987,Aksomati Prime Receiver,Uncommon (16.67%)
988,Braton Prime Blueprint,Uncommon (16.67%)
989,Destreza Prime Handle,Uncommon (16.67%)
990,,
991,Axi D3 Relic (Intact),Axi D3 Relic (Intact)
992,Dual Kamas Prime Blade,Rare (2.00%)
993,Pyrana Prime Receiver,Uncommon (11.00%)
994,Destreza Prime Blueprint,Uncommon (11.00%)
995,Limbo Prime Systems Blueprint,Uncommon (25.33%)
996,Lex Prime Blueprint,Uncommon (25.33%)
997,Braton Prime Stock,Uncommon (25.33%)
998,,
999,Axi D3 Relic (Exceptional),Axi D3 Relic (Exceptional)
1000,Dual Kamas Prime Blade,Rare (4.00%)
1001,Pyrana Prime Receiver,Uncommon (13.00%)
1002,Destreza Prime Blueprint,Uncommon (13.00%)
1003,Limbo Prime Systems Blueprint,Uncommon (23.33%)
1004,Lex Prime Blueprint,Uncommon (23.33%)
1005,Braton Prime Stock,Uncommon (23.33%)
1006,,
1007,Axi D3 Relic (Flawless),Axi D3 Relic (Flawless)
1008,Dual Kamas Prime Blade,Rare (6.00%)
1009,Pyrana Prime Receiver,Uncommon (17.00%)
1010,Destreza Prime Blueprint,Uncommon (17.00%)
1011,Limbo Prime Systems Blueprint,Uncommon (20.00%)
1012,Lex Prime Blueprint,Uncommon (20.00%)
1013,Braton Prime Stock,Uncommon (20.00%)
1014,,
1015,Axi D3 Relic (Radiant),Axi D3 Relic (Radiant)
1016,Dual Kamas Prime Blade,Uncommon (10.00%)
1017,Pyrana Prime Receiver,Uncommon (20.00%)
1018,Destreza Prime Blueprint,Uncommon (20.00%)
1019,Limbo Prime Systems Blueprint,Uncommon (16.67%)
1020,Lex Prime Blueprint,Uncommon (16.67%)
1021,Braton Prime Stock,Uncommon (16.67%)
1022,,
1023,Axi E1 Relic (Intact),Axi E1 Relic (Intact)
1024,Ember Prime Blueprint,Rare (2.00%)
1025,Glaive Prime Blade,Uncommon (11.00%)
1026,Forma Blueprint,Uncommon (11.00%)
1027,Latron Prime Barrel,Uncommon (25.33%)
1028,Sicarus Prime Blueprint,Uncommon (25.33%)
1029,Frost Prime Neuroptics Blueprint,Uncommon (25.33%)
1030,,
1031,Axi E1 Relic (Exceptional),Axi E1 Relic (Exceptional)
1032,Ember Prime Blueprint,Rare (4.00%)
1033,Glaive Prime Blade,Uncommon (13.00%)
1034,Forma Blueprint,Uncommon (13.00%)
1035,Latron Prime Barrel,Uncommon (23.33%)
1036,Sicarus Prime Blueprint,Uncommon (23.33%)
1037,Frost Prime Neuroptics Blueprint,Uncommon (23.33%)
1038,,
1039,Axi E1 Relic (Flawless),Axi E1 Relic (Flawless)
1040,Ember Prime Blueprint,Rare (6.00%)
1041,Glaive Prime Blade,Uncommon (17.00%)
1042,Forma Blueprint,Uncommon (17.00%)
1043,Latron Prime Barrel,Uncommon (20.00%)
1044,Sicarus Prime Blueprint,Uncommon (20.00%)
1045,Frost Prime Neuroptics Blueprint,Uncommon (20.00%)
1046,,
1047,Axi E1 Relic (Radiant),Axi E1 Relic (Radiant)
1048,Ember Prime Blueprint,Uncommon (10.00%)
1049,Glaive Prime Blade,Uncommon (20.00%)
1050,Forma Blueprint,Uncommon (20.00%)
1051,Latron Prime Barrel,Uncommon (16.67%)
1052,Sicarus Prime Blueprint,Uncommon (16.67%)
1053,Frost Prime Neuroptics Blueprint,Uncommon (16.67%)
1054,,
1055,Axi E2 Relic (Intact),Axi E2 Relic (Intact)
1056,Euphona Prime Receiver,Rare (2.00%)
1057,Bronco Prime Barrel,Uncommon (11.00%)
1058,Forma Blueprint,Uncommon (11.00%)
1059,Paris Prime Blueprint,Uncommon (25.33%)
1060,Lex Prime Receiver,Uncommon (25.33%)
1061,Braton Prime Stock,Uncommon (25.33%)
1062,,
1063,Axi E2 Relic (Exceptional),Axi E2 Relic (Exceptional)
1064,Euphona Prime Receiver,Rare (4.00%)
1065,Bronco Prime Barrel,Uncommon (13.00%)
1066,Forma Blueprint,Uncommon (13.00%)
1067,Paris Prime Blueprint,Uncommon (23.33%)
1068,Lex Prime Receiver,Uncommon (23.33%)
1069,Braton Prime Stock,Uncommon (23.33%)
1070,,
1071,Axi E2 Relic (Flawless),Axi E2 Relic (Flawless)
1072,Euphona Prime Receiver,Rare (6.00%)
1073,Bronco Prime Barrel,Uncommon (17.00%)
1074,Forma Blueprint,Uncommon (17.00%)
1075,Paris Prime Blueprint,Uncommon (20.00%)
1076,Lex Prime Receiver,Uncommon (20.00%)
1077,Braton Prime Stock,Uncommon (20.00%)
1078,,
1079,Axi E2 Relic (Radiant),Axi E2 Relic (Radiant)
1080,Euphona Prime Receiver,Uncommon (10.00%)
1081,Bronco Prime Barrel,Uncommon (20.00%)
1082,Forma Blueprint,Uncommon (20.00%)
1083,Paris Prime Blueprint,Uncommon (16.67%)
1084,Lex Prime Receiver,Uncommon (16.67%)
1085,Braton Prime Stock,Uncommon (16.67%)
1086,,
1087,Axi F1 Relic (Intact),Axi F1 Relic (Intact)
1088,Fragor Prime Blueprint,Rare (2.00%)
1089,Atlas Prime Systems Blueprint,Uncommon (11.00%)
1090,Vauban Prime Blueprint,Uncommon (11.00%)
1091,Lex Prime Blueprint,Uncommon (25.33%)
1092,Forma Blueprint,Uncommon (25.33%)
1093,Braton Prime Stock,Uncommon (25.33%)
1094,,
1095,Axi F1 Relic (Exceptional),Axi F1 Relic (Exceptional)
1096,Fragor Prime Blueprint,Rare (4.00%)
1097,Atlas Prime Systems Blueprint,Uncommon (13.00%)
1098,Vauban Prime Blueprint,Uncommon (13.00%)
1099,Lex Prime Blueprint,Uncommon (23.33%)
1100,Forma Blueprint,Uncommon (23.33%)
1101,Braton Prime Stock,Uncommon (23.33%)
1102,,
1103,Axi F1 Relic (Flawless),Axi F1 Relic (Flawless)
1104,Fragor Prime Blueprint,Rare (6.00%)
1105,Atlas Prime Systems Blueprint,Uncommon (17.00%)
1106,Vauban Prime Blueprint,Uncommon (17.00%)
1107,Lex Prime Blueprint,Uncommon (20.00%)
1108,Forma Blueprint,Uncommon (20.00%)
1109,Braton Prime Stock,Uncommon (20.00%)
1110,,
1111,Axi F1 Relic (Radiant),Axi F1 Relic (Radiant)
1112,Fragor Prime Blueprint,Uncommon (10.00%)
1113,Atlas Prime Systems Blueprint,Uncommon (20.00%)
1114,Vauban Prime Blueprint,Uncommon (20.00%)
1115,Lex Prime Blueprint,Uncommon (16.67%)
1116,Forma Blueprint,Uncommon (16.67%)
1117,Braton Prime Stock,Uncommon (16.67%)
1118,,
1119,Axi G1 Relic (Intact),Axi G1 Relic (Intact)
